word,freq
trade,334
wto,296
country,212
tariff,208
model,199
accession,183
ukraine,128
agreement,112
policy,108
foreign,107
import,104
download,98
ebooks,98
equilibrium,95
service,90
economic,89
price,76
market,70
domestic,64
commitment,61
economy,61
investment,56
measure,54
export,53
government,53
negotiation,52
cge,51
sector,50
production,49
agricultural,46
access,44
rule,43
subsidy,43
welfare,41
product,41
decision,41
ad,40
τ,40
wp,40
tax,39
gatt,38
law,38
agriculture,36
click,35
table,35
consumption,35
issue,35
property,35
support,35
intellectual,34
dispute,34
university,33
meeting,32
applied,32
requirement,32
level,31
staiger,31
regulation,30
protection,30
transition,29
modelling,29
bilateral,29
rate,29
agenda,29
right,28
computable,27
scenario,27
fdi,27
settlement,27
industry,26
developing,26
economics,26
organization,25
theoretical,25
cost,25
offer,25
income,25
limitation,25
increase,24
russia,24
regime,23
question,23
developed,23
bagwell,23
direct,22
uruguay,22
barrier,22
data,21
safeguard,21
bank,21
optimal,21
programme,20
growth,20
change,20
competition,20
schedule,20
press,20
methodology,19
reform,19
household,19
industrial,19
period,19
curve,19
firm,19
improvement,18
output,18
capital,18
regional,18
liberalization,18
custom,18
factor,18
doha,17
gdp,17
membership,17
author,17
china,17
mechanism,17
mfn,17
quota,17
supply,17
local,17
reference,16
gain,16
antidumping,16
dynamic,16
enforcement,16
legal,16
multilateral,16
licensing,16
figure,16
relative,16
whalley,16
science,16
cambridge,16
specific,15
agent,15
countervailing,15
function,15
form,15
additional,15
demand,15
enterprise,15
legislature,15
tarr,15
modeling,15
experience,14
social,14
decrease,14
assumption,14
council,14
cut,14
initial,14
bargaining,14
memorandum,13
advantage,13
concession,13
master,13
trip,13
textile,13
reduction,13
usa,13
unilateral,13
political,13
argued,13
power,13
perfect,13
robert,13
rutherford,13
activity,12
equation,12
closure,12
elasticity,12
nation,12
bound,12
sps,12
benefit,12
nash,12
company,12
legislation,12
sugar,12
saving,12
feature,11
opportunity,11
producer,11
ukrainian,11
calibration,11
built,11
structure,11
degree,11
progress,11
provision,11
sanitary,11
natural,11
equal,11
incentive,11
efficient,11
russian,11
commodity,11
shoven,11
method,10
