word,freq
import,146
model,140
wto,137
trade,127
export,127
ukraine,123
scenario,121
accession,119
investment,93
function,93
consumption,84
download,81
ebooks,81
sector,81
production,81
foreign,76
output,76
increase,71
domestic,66
economic,64
household,64
market,62
growth,61
elasticity,61
demand,58
change,55
equilibrium,54
equation,51
welfare,49
table,47
economy,47
cge,45
tariff,45
price,45
access,43
government,40
income,40
country,39
ir,39
region,38
industry,38
commodity,38
figure,37
policy,37
parameter,36
armington,36
cet,35
gdp,34
substitution,32
balance,31
ia,31
transformation,31
click,30
russia,30
rate,30
level,30
ad,29
benchmark,29
university,29
improvement,28
tax,27
utility,27
product,26
ci,26
ce,26
metallurgy,24
chemical,24
economics,24
unemployment,23
machinery,22
saving,22
agriculture,21
α,21
press,20
producer,19
service,19
central,19
key,18
share,18
financial,18
qdi,18
ihles,18
improved,18
bank,17
capital,17
pi,17
grow,17
computable,16
reference,16
defined,16
cambridge,16
programme,15
factor,15
power,15
sale,15
er,15
modeling,15
transport,14
ukrainian,14
revenue,14
ρ,14
shift,14
consumer,14
expenditure,14
curve,14
expansion,14
variable,13
technology,13
input,13
σ,13
wage,13
row,13
asia,13
reform,13
favourable,13
optimistic,13
climate,13
growing,13
opportunity,12
account,12
energy,12
inflow,12
pddi,12
transfer,12
core,12
telecommunication,12
modelling,12
robert,12
labour,11
structure,11
bi,11
γ,11
applied,11
quadrant,11
developing,11
data,10
assumption,10
concluding,10
remark,10
sensitivity,10
master,10
fdi,10
china,10
direct,10
regional,10
resource,10
exponent,10
vi,10
qddi,10
science,10
intermediation,10
changing,10
grows,10
competition,10
ed,10
fo,9
industrial,9
modelled,9
drop,9
cpi,9
sweden,9
future,9
li,9
efficiency,9
fixed,9
leader,9
institution,9
dynamic,9
textile,9
decrease,9
upper,9
york,9
construction,8
national,8
career,8
agricultural,8
usd,8
partner,8
eu,8
leontief,8
qi,8
coefficient,8
firm,8
pk,8
calibration,8
wind,8
equal,8
variation,8
si,8
square,8
expands,8
pavel,8
martin,8
staiger,8
uruguay,8
graduate,7
yoy,7
supplied,7
roughly,7
imported,7
