word,freq
cost,51
company,48
sale,44
profit,36
fixed,34
variable,32
price,28
bus,23
product,21
increase,21
download,20
ebooks,20
unit,20
pen,18
diagram,17
level,16
operating,15
expense,15
selling,15
discount,14
production,14
offer,13
leverage,12
revenue,11
scenario,11
ticket,11
sell,10
service,9
promotion,9
answer,9
advertising,9
marketing,9
click,8
question,8
graph,8
average,8
coffee,8
management,8
ad,7
loss,7
break,7
change,7
industry,6
firm,6
margin,6
espresso,6
chocolate,6
applying,6
strategy,6
customer,6
multiproduct,5
produce,5
estimate,5
business,5
additional,5
weighted,5
future,5
advertisement,5
municipal,5
rise,5
zerres,4
restriction,4
programme,4
investment,4
cover,4
calculated,4
rate,4
calculation,4
single,4
formula,4
machinery,4
asset,4
employee,4
mix,4
drink,4
owner,4
university,4
degree,4
finance,4
rental,4
proposal,4
payment,4
line,4
earnings,4
decision,4
conclusion,3
bibliography,3
graduate,3
implies,3
equal,3
corresponds,3
plant,3
manager,3
determine,3
assumption,3
diagonal,3
estimation,3
competition,3
ratio,3
career,3
buying,3
fleet,3
control,3
raise,3
market,3
obvious,3
sweden,3
sensitive,3
financial,3
vesta,3
wind,3
york,3
publishing,3
nikolaos,2
tsorakidis,2
sophocles,2
papadoulos,2
michael,2
cristopher,2
content,2
joined,2
mitas,2
internationa,2
opportunity,2
wo,2
placement,2
helping,2
ssolve,2
ensure,2
experience,2
output,2
depreciation,2
wage,2
quality,2
horizontal,2
axis,2
euro,2
represents,2
depicts,2
table,2
outcome,2
vc,2
difference,2
contributes,2
incurred,2
reach,2
offset,2
accounting,2
extended,2
tool,2
figure,2
annual,2
worker,2
application,2
affect,2
demand,2
reality,2
planning,2
period,2
illustrate,2
quick,2
classic,2
proportional,2
innovative,2
master,2
urban,2
local,2
extra,2
target,2
expected,2
budgeting,2
comparison,2
rented,2
gothenburg,2
decides,2
invoicing,2
percentage,2
decrease,2
lead,2
innovation,2
employer,2
mälardalen,2
cinema,2
seat,2
generate,2
hidden,2
accurate,2
prediction,2
term,2
press,2
principle,2
corporate,2
isbn,1
engineer,1
geoscientists,1
engine,1
construction,1
supervisor,1
ina,1
const,1
