word,freq
dividend,478
share,452
market,330
valuation,313
price,304
company,277
takeover,238
earnings,192
yield,190
corporate,184
investment,163
stock,156
asset,149
ratio,137
investor,133
download,127
ebooks,125
rate,119
financial,115
profit,115
ke,111
policy,104
growth,96
data,95
capitalisation,93
shareholder,90
acquisition,90
future,84
cash,82
capital,78
activity,70
management,68
risk,61
business,60
firm,60
chapter,58
model,57
equity,57
click,55
ad,51
strategy,51
flow,51
exchange,47
performance,47
gordon,46
cover,46
eps,46
income,45
constant,45
wealth,44
tax,44
goodwill,42
figure,42
profitability,41
fund,41
listing,38
equal,38
period,38
rise,38
distribution,38
accounting,36
expected,35
fall,35
buy,35
target,35
press,34
sell,34
behaviour,33
equation,33
predator,33
gain,32
penny,32
value,29
opportunity,28
factor,28
managerial,28
forecast,28
nominal,28
conclusion,27
uk,26
decision,26
retention,26
trading,26
economic,26
portfolio,26
individual,25
account,25
expectation,25
produce,25
percentage,25
average,25
tangible,25
summary,24
offer,24
sale,24
bid,24
table,24
duran,24
university,23
relative,23
increase,23
finance,22
programme,22
measure,22
term,22
equivalent,22
reference,21
hold,21
return,21
pay,21
science,20
uncertainty,20
criterion,20
annuity,20
relationship,20
discounted,20
hypothesis,19
analyst,19
balance,19
strategic,19
rational,19
payout,19
trade,18
fundamental,18
annual,18
purpose,18
undervalued,18
potential,18
depreciation,18
irrelevancy,17
objective,17
basis,17
ordinary,17
fisher,17
requirement,17
selling,17
perpetual,17
power,17
pv,17
master,16
assumption,16
crisis,16
theoretical,16
historical,16
industry,16
explained,16
cost,16
active,16
reported,16
capitalised,16
pricing,15
level,15
valued,15
analyse,15
preference,15
satisfy,15
law,15
history,15
movement,15
profitable,15
maximisation,14
project,14
perfect,14
reinvestment,14
analysis,14
profile,14
student,14
reciprocal,14
jovi,14
reveals,14
entity,14
buying,14
fo,14
manager,14
sheet,14
rule,13
efficient,13
termed,13
crash,13
change,13
paid,13
employee,13
revenue,13
ct,13
proportion,13
product,13
maintainable,12
calculation,12
sector,12
event,12
question,12
form,12
technology,12
avoid,12
knowledge,12
competitor,12
motif,12
desired,12
engineering,12
commercial,12
