word,freq
dividend,217
valuation,198
share,160
market,148
price,142
corporate,111
takeover,104
investment,99
company,99
earnings,91
policy,79
yield,76
exercise,75
asset,65
ke,65
stock,64
download,63
ebooks,63
ratio,59
shareholder,58
growth,56
rate,55
capitalisation,44
financial,43
model,42
future,42
chapter,42
profit,41
risk,41
investor,40
gordon,39
data,35
equity,35
cover,34
cvt,32
firm,31
wealth,30
management,29
listing,27
acquisition,27
business,27
constant,26
decision,24
profitability,24
click,23
equation,23
capital,22
ad,21
irrelevancy,21
rational,20
managerial,20
distribution,20
goodwill,20
summary,19
conclusion,19
maximisation,19
solution,19
ozzy,19
bid,19
dynamic,18
exchange,18
performance,18
profile,18
finance,16
opportunity,16
pricing,16
economic,16
equivalent,16
penny,16
hypothesis,15
theoretical,15
explained,15
science,15
objective,15
return,15
portfolio,15
question,15
recession,14
trading,14
activity,14
uncertainty,14
bowie,14
reference,13
university,13
behaviour,13
equal,13
retention,13
tangible,13
stripe,13
hill,12
assumption,12
perfect,12
efficient,12
indicative,12
sell,12
payout,12
programme,11
illustration,11
implication,11
basis,11
condition,11
range,11
observed,10
forecast,10
sale,10
fall,10
annual,10
derive,10
analysis,9
understanding,9
fisher,9
certainty,9
project,9
relative,9
term,9
prospective,9
discounted,9
proportion,9
multiplier,9
answer,9
movement,9
accounting,8
strategy,8
master,8
determine,8
valued,8
companion,8
event,8
warning,8
npv,8
agency,8
mathematical,8
buy,8
analyse,8
strategic,8
defined,8
recall,8
reciprocal,8
versa,8
period,8
worth,8
target,8
purchase,8
mantra,8
jurvv,8
academic,7
level,7
private,7
factor,7
quality,7
explains,7
expected,7
efficiency,7
profitable,7
maximise,7
modigliani,7
miller,7
measure,7
relationship,7
periodic,7
income,7
measured,7
produce,7
figure,7
increase,7
function,7
rise,7
ordinary,7
annum,7
student,7
existing,7
offer,7
prepared,7
diversification,7
fo,7
rock,7
alan,6
appendix,6
underpinned,6
cash,6
comment,6
pay,6
consumption,6
preference,6
random,6
normal,6
desired,6
reveals,6
emh,6
hold,6
insider,6
beat,6
evaluate,6
seeking,6
represented,6
gain,6
capitalised,6
press,6
industry,6
power,6
