word,freq
cost,787
production,291
function,248
dkk,212
variable,146
model,144
dynamic,139
costing,137
fixed,130
download,124
ebooks,124
activity,122
product,122
calculation,113
firm,111
unit,108
mc,104
level,93
avc,73
factor,72
company,70
situation,66
decision,66
distribution,65
abc,65
price,62
tvc,60
tc,59
horizon,58
management,57
employee,56
direct,54
margin,50
business,48
figure,47
specific,46
average,46
marginal,45
click,43
increase,43
indirect,43
question,43
solution,42
ad,41
assignment,40
opportunity,40
capacity,40
distributed,40
relevant,38
sale,38
atc,38
key,35
machine,34
worker,33
material,33
mending,33
discount,32
kilometer,32
profit,31
produced,31
wage,31
tax,31
machinery,30
curve,30
guiding,29
operation,29
control,29
size,28
vary,28
future,28
applied,28
dependent,28
bearer,28
driving,27
table,26
uncle,26
producing,25
design,25
carried,25
attributed,25
marketing,25
technology,24
turnover,24
rent,24
task,24
pool,24
defined,23
kr,23
bicycle,23
decrease,22
maintenance,22
fashion,22
mend,22
chapter,21
term,21
owner,21
master,21
difference,21
power,21
single,21
typically,21
change,21
connection,21
programme,20
repair,20
basis,20
tfc,20
center,20
object,20
raspberry,19
purpose,19
relation,19
annual,19
mileage,19
measurement,19
divided,19
perfume,19
magazine,19
definition,18
consumption,18
lowest,18
facility,18
condition,18
knowledge,18
yield,18
raw,18
instance,18
joined,17
produce,17
harboe,17
scale,17
depreciation,17
financial,17
insurance,17
driver,17
salary,17
minimum,17
learning,17
fo,16
resource,16
university,16
capital,16
loss,16
determined,16
customer,16
science,16
accounting,16
offer,16
division,16
printing,15
establish,15
optimal,15
circumstance,15
degree,15
outsourcing,15
experience,15
industry,15
student,15
mechanic,15
mentioned,15
quality,15
sunk,15
express,15
occasion,14
market,14
consideration,14
alternative,14
expense,14
period,14
data,14
optimization,14
pizzeria,14
og,14
effort,13
grade,13
administration,13
sell,13
supplier,13
fuel,13
equal,13
store,13
additional,13
driven,13
connected,13
administrative,13
building,13
action,13
reversible,13
tool,13
choice,13
estimate,13
pricing,12
competition,12
purchase,12
internal,12
economic,12
paid,12
income,12
grocer,12
tied,12
