word,freq
globalization,715
market,403
economic,318
trade,286
economics,270
download,224
ebooks,223
nation,198
financial,195
economy,179
country,176
currency,152
investment,149
policy,143
capital,138
labor,137
resource,107
growth,94
exchange,87
technology,85
question,84
bank,83
production,80
click,79
government,78
foreign,78
wage,75
domestic,75
rate,75
risk,74
ad,73
business,72
standard,71
trading,70
crisis,70
environment,69
environmental,69
advantage,69
national,68
growing,66
product,65
finance,64
future,63
cost,62
social,61
asset,60
power,59
demand,59
flow,58
economist,58
price,58
reserve,57
export,53
nature,52
globe,52
prospect,51
natural,51
chapter,50
health,49
water,48
china,48
company,48
fund,48
developing,48
challenge,47
rule,47
worker,47
university,46
income,46
service,46
investor,44
history,43
balance,43
opportunity,42
monetary,42
institution,41
force,41
developed,40
programme,39
level,39
import,39
create,39
industry,39
supply,39
structure,38
benefit,38
job,38
decade,38
tax,37
increase,37
security,36
fast,36
private,36
factor,36
debt,36
relevant,35
human,35
continue,35
energy,35
local,34
stock,34
meant,34
science,34
political,34
barrier,34
deficit,34
wto,33
expected,33
employment,32
regulation,32
gold,32
credit,32
period,31
payment,30
matter,30
rising,30
dynamic,30
scale,30
fuel,30
ecosystem,30
technological,29
master,29
central,29
innovation,29
skill,29
tend,29
inequality,29
student,28
offer,28
tariff,28
access,27
share,27
comparative,27
management,27
imf,27
oil,27
loss,27
instance,27
consumption,27
wind,26
begun,26
manufacturing,26
transport,26
fo,25
puzzling,25
transportation,25
competitive,25
right,25
population,25
organization,25
rise,25
unemployment,25
lead,25
key,24
stress,24
account,24
involves,24
york,24
solution,24
european,24
control,24
movement,24
continues,24
competition,24
fiscal,24
change,23
sense,23
feature,23
uncertainty,23
design,23
individual,23
europe,23
surplus,23
engineering,23
network,22
system,22
strategy,22
war,22
position,22
inflation,22
form,22
scarcity,21
player,21
changing,21
productivity,21
integrated,21
huge,21
property,21
refers,21
surprisingly,21
push,21
measure,21
contract,21
popular,20
issue,20
tremendous,20
phenomenon,20
career,20
restriction,20
path,20
