word,freq
curve,206
price,163
figure,132
firm,124
demand,103
consumer,97
microeconomics,95
download,95
ebooks,95
exercise,94
production,85
market,80
marginal,70
graph,70
utility,63
income,61
unit,60
increase,58
slope,55
labor,54
equilibrium,49
indifference,49
profit,41
mc,41
budget,40
draw,36
click,35
monopoly,33
individual,33
ad,32
efficient,31
substitution,31
average,31
produce,31
cost,30
supply,28
pay,28
function,27
perfect,27
definition,26
level,26
competition,25
wage,25
corresponds,25
elasticity,24
choice,24
suppose,24
product,24
revenue,24
maximization,23
change,23
buy,21
situation,21
normal,20
answer,20
criterion,19
variable,19
competitive,19
chosen,19
equal,18
straight,18
produced,18
avc,18
nash,18
programme,17
assumption,17
strategy,17
rate,17
horizontal,17
atc,17
perfectly,17
depends,17
additional,17
university,16
basket,16
drawn,16
scale,16
outcome,16
contract,16
model,15
construct,15
input,15
capital,15
pareto,15
substitute,14
derive,14
line,14
producer,14
mpl,14
science,14
loss,14
mrpl,14
preference,13
master,13
diminishing,13
calculate,13
mrt,13
shift,13
fixed,13
player,13
optimal,13
instance,13
form,12
oligopoly,12
externality,12
diagram,12
decrease,12
difference,12
labeled,12
consume,12
intersect,12
willingness,11
expression,11
student,11
pop,11
techno,11
chooses,11
negative,11
maximally,11
origin,11
buyer,11
improve,11
discrimination,10
concept,10
solution,10
degree,10
relation,10
complementary,10
inferior,10
return,10
producing,10
combination,10
lrac,10
value,10
tc,10
prefers,10
leisure,10
distance,10
fo,9
basic,9
game,9
monopolistic,9
failure,9
career,9
future,9
sweden,9
maximizes,9
vary,9
fall,9
mrts,9
correspond,9
surplus,9
wallet,9
reaction,9
win,9
changing,9
expected,9
wealth,9
sum,9
opportunity,8
graduate,8
design,8
lie,8
affect,8
maximize,8
typically,8
wind,8
power,8
upper,8
economy,8
mathematics,8
engineering,8
improvement,8
reward,8
customer,8
bid,8
offer,8
monopolist,8
positive,8
relative,8
intersects,8
factor,8
seller,8
content,7
cournot,7
uncertainty,7
mathematical,7
occurs,7
employee,7
apl,7
srac,7
technology,7
tr,7
lose,7
alternative,7
constant,7
lottery,7
cheaper,7
company,7
consumption,7
