word,freq
euro,55
rate,51
economics,49
increase,47
exercise,43
demand,42
download,41
ebooks,41
price,41
inflation,28
market,26
curve,26
gdp,24
investment,23
monetary,22
cycle,21
unemployment,21
function,19
chapter,19
income,18
supply,18
economy,18
equal,17
policy,16
deficit,16
business,15
slope,14
gap,14
click,13
ad,13
exchange,12
equilibrium,12
wage,12
labour,11
tax,11
country,11
growth,10
decrease,10
government,10
budget,10
capital,10
currency,10
aggregate,9
positive,9
consumption,8
university,8
parity,8
european,7
programme,7
balance,7
saving,7
literature,7
level,7
period,7
union,6
solution,6
change,6
shift,6
exceeds,6
framework,6
negative,6
ecb,6
factor,6
output,6
science,6
expectation,6
accounting,5
fluctuation,5
law,5
vertical,5
expression,5
refers,5
account,5
master,5
lm,5
multiplier,5
coefficient,5
relationship,5
power,5
exists,5
bank,5
toolbox,4
opportunity,4
graduate,4
unconventional,4
issue,4
student,4
cost,4
key,4
unit,4
behaviour,4
keynes,4
trade,4
equation,4
lead,4
elasticity,4
expenditure,4
marginal,4
propensity,4
term,4
balanced,4
exceed,4
career,4
private,4
depends,4
future,4
sweden,4
criterion,4
design,4
kondratieff,4
indicator,4
sector,4
caused,4
basket,4
mathematics,4
purchasing,4
stable,4
velocity,4
payment,4
channel,4
targeting,4
unstable,4
revenue,4
content,3
understanding,3
joined,3
fiscal,3
booklet,3
household,3
classical,3
house,3
reflected,3
national,3
closed,3
export,3
decline,3
degree,3
model,3
implies,3
exist,3
argument,3
input,3
operates,3
capacity,3
registered,3
vesta,3
wind,3
oil,3
annual,3
foreign,3
conventional,3
stock,3
targeted,3
central,3
ratio,3
taylor,3
gold,3
dieter,2
gerdesmeier,2
mitas,2
internationa,2
wo,2
placement,2
helping,2
ssolve,2
engineer,2
textbook,2
underlying,2
forgone,2
macroeconomic,2
friedman,2
maynard,2
variable,2
sloping,2
unchanged,2
production,2
loan,2
horizontal,2
flat,2
nominal,2
creates,2
social,2
absolute,2
residual,2
consume,2
hold,2
steepens,2
import,2
medium,2
store,2
governing,2
president,2
executive,2
board,2
innovative,2
strategy,2
consists,2
transaction,2
precautionary,2
asset,2
