word,freq
fund,1219
hedge,894
investor,384
marketing,381
capital,273
office,260
industry,245
manager,231
investment,213
firm,199
management,188
professional,174
business,159
sale,129
raising,122
question,112
asset,107
potential,105
client,100
risk,95
team,86
single,85
strategy,85
experience,83
financial,81
email,81
raise,80
relationship,77
marketer,72
focus,72
answer,71
institutional,70
market,69
product,69
presentation,68
material,67
event,65
tool,61
wealth,58
career,58
month,57
level,55
consultant,55
portfolio,55
company,54
powerpoint,53
performance,53
trading,51
invest,50
knowledge,50
individual,50
contact,49
creativity,49
writing,49
valuable,49
expert,48
provider,47
lesson,47
richard,46
diligence,46
article,46
fee,46
resource,45
database,45
practice,45
unique,45
step,45
wilson,44
conference,44
program,44
process,43
relation,42
mistake,42
book,42
creative,41
networking,40
press,40
worth,40
action,39
prospect,39
opportunity,38
plan,38
chapter,38
create,38
training,37
service,37
complete,37
medium,37
positive,37
speaking,36
position,36
web,36
build,35
learn,35
interview,35
speak,35
return,35
newsletter,34
starting,33
ability,33
effort,33
idea,32
benefit,32
track,32
blog,31
skill,31
authority,31
control,31
operation,30
creating,30
broker,30
managing,29
growing,29
copy,29
improve,29
chp,28
investing,28
seed,28
goal,28
decision,28
effective,28
pedigree,28
equity,27
white,27
specialized,27
call,27
designation,26
develop,26
identify,26
trend,26
advisor,26
pr,26
grow,26
specific,26
pay,26
compliance,26
ceo,25
private,25
quote,25
educational,25
successful,25
niche,25
competition,25
gitomer,25
solution,25
piece,25
record,25
bonus,25
challenge,25
frequently,24
hiring,24
brokerage,24
daily,23
manage,23
job,23
startup,23
selling,23
advantage,23
competitive,23
legal,23
model,23
message,23
tassini,23
drug,23
figure,22
executive,22
tactic,22
difference,22
experienced,22
analyst,22
cost,22
paid,22
aum,22
browser,22
share,21
success,21
building,21
pratik,21
increase,21
learned,21
insight,21
attention,21
common,21
competitor,21
employee,21
partner,20
definition,20
customer,20
sharma,20
positioning,20
pitch,20
growth,20
jeffrey,20
space,20
channel,20
board,20
negative,20
typically,20
cue,20
url,20
